item,mae,rmse,baseline_rmse,r2,model_better,date
Bread,1.2444214236749167,1.6184594069049085,1.8416832751235375,0.9999198647402074,True,2026-02-17
Cooking Oil (1L),2.8879356632214077,3.748662777137434,4.532806874111558,0.9999689650779195,True,2026-02-17
Eggs (12),3.1689753795820725,4.093678204757697,4.463510765031993,0.9999656927727445,True,2026-02-17
Milk (1L),1.6715765199373787,2.0387659736699244,2.3267996513747087,0.9999492363486278,True,2026-02-17
Rice (1kg),3.705495901142323,4.375970432308921,4.230377943126412,0.9999670969639486,False,2026-02-17
